Callsign,Track Miles,3Di Score,Fuel Burn,CO2
ABW402,723.147,0.187404,14.8262,47.1472
ABW9143,420.247,0.160839,8.11452,25.8042
ABW91431,232.668,1.74026,8.90717,28.3248
ACA2034,1004.66,2.17224,10.5407,33.5196
ACA807,777.9,1.67189,10.0618,31.9964
ACA824,747.489,1.12796,7.2413,23.0273
ACA825,726.877,1.37349,10.1081,32.1437
ACA832,1272.13,57.4821,13.4456,42.7572
ACA833,735.122,0.714599,10.5282,33.4796
ACA835,913.108,1.91296,12.2541,38.9682
ACA838,969.929,5.15294,9.14794,29.0905
ACA839,1367.72,46.9925,16.3962,52.1398
ACA841,793.565,5.52988,10.2464,32.5834
ACA842,374.928,17.1823,3.17826,10.1069
ACA847,1978.3,393.204,21.2298,67.5108
ACA848,614.773,1.2791,10.0107,31.8339
ACA849,877.127,55.7606,18.9642,60.306
ACA850,475.577,1.06406,4.2841,13.6234
ACA851,600.607,1.50477,8.74208,27.7998
ACA854,475.577,1.06406,4.40955,14.0224
ACA855,600.607,1.50477,8.74208,27.7998
ACA857,877.127,55.7606,18.9642,60.306
ACA858,614.773,1.2791,10.0107,31.8339
ACA859,877.127,55.7606,11.6892,37.1718
ACA860,556.535,2.71594,2.559,8.13763
ACA861,879.926,56.4343,5.75489,18.3006
ACA865,877.127,55.7606,18.9642,60.306
ACA868,583.352,3.4251,5.46005,17.3629
ACA869,899.058,54.802,19.347,61.5234
ACA870,1112.59,52.4256,18.8385,59.9066
ACA871,750.11,4.01287,16.6912,53.0781
ACA873,1367.72,46.9925,27.6503,87.928
ACA875,1367.72,46.9925,15.8173,50.2991
ACA876,969.6,5.1207,16.3805,52.0899
ACA877,1367.72,46.9925,27.6503,87.928
ACA879,1017.38,4.30831,13.846,44.0303
ACA881,750.11,4.01287,16.7272,53.1926
ACA883,796.852,0.195871,14.4186,45.8511
ACA888,614.773,1.2791,5.64186,17.9411
ACA889,877.127,55.7606,11.0602,35.1713
ACA890,1218.83,16.4949,22.1736,70.5121
ACA891,1851.26,739.189,32.5726,103.581
ACA893,1116.99,3.61403,12.911,41.0571
ACA894,1165.43,6.66892,11.6025,36.8958
ACA895,2077.55,1808.01,24.1453,76.7821
ACA896,475.577,1.06406,4.2841,13.6234
ACA897,600.607,1.50477,8.74208,27.7998
ADN82K,924.884,132.197,2.1166,6.7308
AEA267,733.604,3.54989,3.43314,10.9174
AEA268,655.622,0.968782,4.29255,13.6503
AEA61QZ,345.101,6.72772,2.09484,6.6616
AEA6KM,498.312,2.72173,1.63701,5.2057
AEA80LZ,345.101,6.72772,2.09484,6.6616
AEA87AK,498.312,2.72173,1.63701,5.2057
AEA986,341.427,12.7263,1.36357,4.33616
AEA987,1389.23,414.512,8.03165,25.5406
AEE2EG,513.23,1.31945,2.61462,8.3145
AEE2FL,513.23,1.31945,2.55722,8.13195
AEE2PH,775.241,8.87803,3.60568,11.4661
AEE601,2331.61,720.905,13.5051,42.9461
AEE609,442.937,10.2562,3.59225,11.4234
AEE633,658.137,2.37229,4.40976,14.023
AEE6AV,513.23,1.31945,2.55722,8.13195
AEE8SE,500.222,10.3873,3.91133,12.438
AEG366,498.38,13.3672,0,0
AEG367,209.679,18.7234,0,0
AEG368,1192.44,86.6261,0,0
AFL150,1329.61,44.4078,16.3305,51.9311
AFL2578,420.247,0.160839,4.09861,13.0336
AFL2579,802.53,80.2998,11.1769,35.5425
AFL2580,420.247,0.160839,2.03153,6.46026
AFL2581,802.53,80.2998,5.58012,17.7448
AFL2582,420.339,0.180442,2.08232,6.62179
AFL2583,1022.12,138.588,6.77609,21.548
AFL2584,420.247,0.160839,2.0818,6.62012
AFL2585,802.53,80.2998,5.58012,17.7448
AFR006,691.453,0.786225,25.6143,81.4536
AFR008,687.776,0.402659,13.2416,42.1083
AFR009,1144.95,49.4383,16.0282,50.9698
AFR010,691.453,0.786225,25.7287,81.8174
AFR019,835.081,11.113,11.4045,36.2664
AFR022,691.453,0.786225,15.8718,50.4722
AFR026,687.776,0.402659,13.2416,42.1083
AFR027,1183.62,54.1391,16.6026,52.7962
AFR032,684.019,0.281947,13.195,41.9602
AFR054,696.178,1.09845,25.7426,81.8615
AFR066,839.14,0.353739,29.7231,94.5194
AFR069,1249.13,52.0295,21.2363,67.5314
AFR072,777.9,1.67189,17.4079,55.3572
AFR076,735.145,3.23603,13.9505,44.3625
AFR077,1172.1,54.824,16.4323,52.2548
AFR084,777.9,1.67189,27.9569,88.9029
AFR085,1172.1,54.824,16.4323,52.2548
AFR1016,484.384,12.8702,2.69516,8.57061
AFR101G,846.308,89.5316,4.20871,13.3837
AFR109Q,920.347,92.0482,3.40078,10.8145
AFR1116,484.384,12.8702,2.69516,8.57061
AFR1117,846.308,89.5316,4.20871,13.3837
AFR1159,439.23,10.3245,2.61104,8.30311
AFR115E,409.379,3.52471,2.42996,7.72726
AFR116B,281.549,6.25959,2.13085,6.77612
AFR116J,369.547,14.7435,2.67274,8.49931
AFR1181,246.582,28.1286,1.93794,6.16266
AFR1272,540.127,3.4499,3.292,10.4686
AFR1273,582.931,10.8343,3.52358,11.205
AFR1380,192.095,2.08511,1.6229,5.16084
AFR138X,207.909,9.64367,1.72346,5.4806
AFR144,691.453,0.786225,10.5471,33.5398
AFR1472,540.127,3.4499,3.292,10.4686
AFR1486,588.502,22.8966,2.42227,7.70281
AFR156W,310.202,16.0282,2.43226,7.73459
AFR158W,192.095,2.08511,1.6229,5.16084
AFR1686,588.502,22.8966,3.52511,11.2098
AFR1716,484.384,12.8702,2.69516,8.57061
AFR1717,846.308,89.5316,4.20871,13.3837
AFR178,700.518,1.48245,25.8602,82.2355
AFR179,1183.62,54.1391,30.3405,96.4827
AFR181E,489.326,13.9171,3.18141,10.1169
AFR1886,588.502,22.8966,3.68254,11.7105
AFR1887,521.713,10.1146,3.36286,10.6939
AFR27NZ,281.549,6.25959,2.13085,6.77612
AFR28WC,325.653,2.33448,1.95957,6.23143
AFR29SQ,439.23,10.3245,2.15002,6.83706
AFR32RY,330.873,3.81013,2.50241,7.95765
AFR334,687.776,0.402659,13.2416,42.1083
AFR342,705.812,1.87727,15.9362,50.677
AFR344,703.785,1.6142,15.8999,50.5618
AFR347,971.36,24.5688,13.4447,42.7543
AFR348,687.776,0.402659,9.64652,30.6759
AFR356,691.453,0.786225,15.6794,49.8606
AFR35MP,854.626,91.2933,5.00451,15.9144
AFR377,1144.95,49.4383,15.8745,50.481
AFR378,687.776,0.402659,13.139,41.7821
AFR38HA,192.095,2.08511,1.65816,5.27296
AFR38YU,207.909,9.64367,1.71804,5.46337
AFR4081,1144.95,49.4383,29.2958,93.1607
AFR4083,1144.95,49.4383,11.3794,36.1866
AFR42AW,521.713,10.1146,3.20062,10.178
AFR43XL,192.36,2.21217,1.62449,5.16586
AFR474,472.878,3.20463,10.0049,31.8155
AFR47RN,192.095,2.08511,1.6229,5.16084
AFR48QE,207.909,9.64367,1.72346,5.4806
AFR49XN,729.567,6.08883,4.18559,13.3102
AFR636,691.453,0.786225,15.6794,49.8606
AFR63DK,439.23,10.3245,2.31959,7.37628
AFR64VX,192.095,2.08511,1.6229,5.16084
AFR650,472.878,3.20463,10.0049,31.8155
AFR673,1226.78,59.9982,15.089,47.9831
AFR6730,687.776,0.402659,15.1619,48.2148
AFR67FC,325.653,2.33448,2.3576,7.49716
AFR682,691.453,0.786225,15.6794,49.8606
AFR688,691.453,0.786225,15.6794,49.8606
AFR689,1144.95,49.4383,19.4666,61.9037
AFR694,722.557,2.59137,12.4195,39.4941
AFR69BV,271.528,2.84296,2.07169,6.58799
AFR72QD,325.653,2.33448,2.3576,7.49716
AFR74GH,207.909,9.64367,1.72346,5.4806
AFR75QV,330.873,3.81013,2.17051,6.90222
AFR75RA,192.095,2.08511,1.65816,5.27296
AFR76WD,699.976,4.31533,4.60339,14.6388
AFR81HP,271.528,2.84296,2.07169,6.58799
AFR82MH,409.379,3.52471,2.04001,6.48722
AFR85KP,207.909,9.64367,1.77141,5.6331
AFR85QR,582.931,10.8343,2.39201,7.60659
AFR86XR,521.713,10.1146,2.23423,7.10485
AFR89VT,409.379,3.52471,1.89091,6.01309
AFR93LH,281.815,6.35022,2.23547,7.10879
AFR943,1183.62,54.1391,20.0163,63.652
AFR96VR,207.909,9.64367,1.77681,5.65025
AFR99NP,491.625,7.37117,2.12097,6.7447
AHO218F,911.265,55.332,0.855482,2.72043
AHO352U,53.8802,125.205,0.0909041,0.289075
AHO352U1,2829.62,310.164,3.31395,10.5383
AHO366P,515.47,14.0423,0.747368,2.37663
AHO366P1,1331.53,488.509,1.68629,5.36239
AHO367Z,375.133,29.3485,1.17212,3.72735
AHO545R,485.062,6.22883,0.883842,2.81062
AHO545R1,1331.53,488.509,2.92173,9.29111
AHO575Q,1152.21,339.982,1.3931,4.43007
AHO575Q1,107.757,1.03811,0.228528,0.72672
AHO577G,496.274,65.0841,0.73808,2.34709
AHO597D,581.549,7.63396,0.545251,1.7339
AHO667R,991.818,159.884,3.50902,11.1587
AHO719D,149.009,347.691,0.317154,1.00855
AHO719D1,846.15,248.679,1.08634,3.45457
AHO819Q,838.581,2.18197,0.803677,2.55569
AHO819Q1,849.697,4.92831,1.04021,3.30786
AHO836S,1473.83,285.544,3.17001,10.0806
AHY007,252.925,3.66547,1.69668,5.39544
AHY008,266.702,0.287448,4.97538,15.8217
AIC111,389.678,1.96114,3.08061,9.79635
AIC112,450.686,0.289822,6.86867,21.8424
AIC117,803.995,67.5945,7.16288,22.778
AIC118,976.101,153.17,12.0411,38.2908
AIC130,786.083,82.5397,10.1936,32.4156
AIC131,389.678,1.96114,3.08061,9.79635
AIC162,1158.57,263.199,13.8452,44.0278
AIC172,602.146,3.206,5.18571,16.4906
AIC1721,786.083,82.5397,10.1936,32.4156
AKK9,649.509,11.5453,1.18177,3.75803
AKK91,396.899,3.7938,1.12514,3.57795
ALK503,463.297,2.04746,4.46428,14.1964
ALK504,416.713,0.506198,6.71029,21.3387
AMC100A,730.705,235.069,3.22383,10.2518
AMC101,923.975,320.978,5.44909,17.3281
AMC102,730.705,235.069,3.38167,10.7537
AMC103,923.975,320.978,5.72587,18.2083
AMC116,833.695,295.887,3.89833,12.3967
AMC117,1048.95,395.45,6.33519,20.1459
AMC184,397.321,5.56647,1.68256,5.35054
AMC185,514.355,9.45501,3.6847,11.7174
AMQ9T,583.17,155.681,0.760527,2.41848
AMX003,1119.51,50.1776,11.3194,35.9957
AMX004,687.523,0.163179,9.63947,30.6535
AMX006,523.292,1.53562,7.48938,23.8162
AMX007,679.068,22.3169,6.14481,19.5405
AMX008,884.79,57.2423,11.1388,35.4215
AMX025,717.682,0.221017,6.91902,22.0025
AMX026,1180.54,56.2712,14.9023,47.3893
ANA211,559.918,4.80259,8.87795,28.2319
ANA212,673.584,102.571,15.5656,49.4985
ANE8404,895.926,48.7464,1.95678,6.22257
ANE8405,587.34,1.46546,1.63858,5.21069
ANZ1,931.857,54.094,19.9186,63.3413
ANZ2,615.204,1.34292,9.95449,31.6553
ASL42J,416.795,0.523971,3.05595,9.71794
ASL500,969.399,3.01948,12.1348,38.5887
ASL51G,389.678,1.96114,1.56973,4.99173
ATL3Z,542.11,11.2367,0.584095,1.85742
ATL3Z1,554.795,9.06203,0.871609,2.77172
AUA40QM,531.356,3.08718,2.7897,8.87125
AUA42R,974.34,117.262,6.51349,20.7129
AUA451P,389.678,1.96114,1.82305,5.79729
AUA453X,252.925,3.66547,0.968679,3.0804
AUA455W,252.925,3.66547,1.07852,3.42971
AUA456R,974.34,117.262,6.51725,20.7249
AUA457V,389.678,1.96114,1.68106,5.34577
AUA458R,974.34,117.262,5.96587,18.9715
AUA463B,360.977,5.29254,1.1325,3.60134
AUA65,791.857,0.994079,8.15195,25.9232
AUA71,790.745,0.866711,8.14069,25.8874
AUA87,978.132,1.44335,10.0322,31.9023
AUA89,978.132,1.44335,10.0322,31.9023
AUA93,978.132,1.44335,10.0322,31.9023
AUA96LU,548.002,30.3643,3.84379,12.2233
AUI113,695.258,60.9404,3.24933,10.3329
AUI114,498.961,18.4007,3.44681,10.9609
AUI1PG,498.961,18.4007,3.44681,10.9609
AUI231,922.23,0.970138,14.0303,44.6163
AUI232,784.07,1.45803,11.9355,37.9547
AUI242,327.161,0.0627271,3.37278,10.7254
AUI7LM,695.258,60.9404,3.24933,10.3329
AUR26C,353.072,84.0173,0,0
AUR27C,206.922,12.0967,0,0
AUR2LG,142.452,2.72903,0,0
AUR3LG,149.028,6.99715,0,0
AUR42D,141.558,18.8791,0,0
AUR43D,141.44,18.7888,0,0
AUR503,81.7685,0.264145,0,0
AUR504,81.5354,0.00757947,0,0
AUR533,81.7685,0.264145,0,0
AUR534,81.5354,0.00757947,0,0
AUR565,81.7685,0.264145,0,0
AUR566,81.5354,0.00757947,0,0
AUR600A,142.452,2.72903,0.953754,3.03294
AUR601Y,149.028,6.99715,1.00355,3.1913
AUR604A,142.452,2.72903,0.953754,3.03294
AUR605Y,149.028,6.99715,1.00355,3.1913
AUR606A,142.452,2.72903,0.953754,3.03294
AUR607Y,149.028,6.99715,1.00355,3.1913
AUR610A,142.452,2.72903,0.953754,3.03294
AUR611Y,149.028,6.99715,1.00355,3.1913
AUR66V,288.905,6.9405,0,0
AUR66W,296.376,9.44065,0,0
AUR70B,263.571,10.7157,0,0
AUR71B,255.078,7.47925,0,0
AUR78B,263.571,10.7157,0,0
AUR79B,255.078,7.47925,0,0
AUR8LG,142.452,2.72903,0,0
AUR9LG,149.028,6.99715,0,0
AVA120,442.63,4.9431,3.58016,11.3849
AVA121,920.648,53.6131,11.4912,36.5419
AWC247,1595.59,254.181,8.47008,26.9349
AWC248,758.653,57.2707,3.48842,11.0932
AWC2A,304.522,6.19306,2.29584,7.30076
AWC2B,410.735,39.6498,2.83856,9.02661
AWC2C,304.522,6.19306,2.25405,7.16789
AWC2D,410.735,39.6498,2.84501,9.04712
AWY02,323.349,273.532,0.0666557,0.211965
AWY38,,,,
AXG24,381.018,17.7055,0.676101,2.15
AXG242,323.76,62.4155,0.860355,2.73593
AXY2174,567.769,9.00032,3.63896,11.5719
AXY2709,516.226,5.54241,1.40592,4.47081
AYY112,975.773,56.0173,1.02488,3.2591
AYY1121,2832.46,295.403,3.0231,9.61347
AYY1122,88.9134,2.3495,0.201476,0.640695
AZA201,516.973,3.00065,3.69741,11.7578
AZA207,516.973,3.00065,3.69741,11.7578
AZA209,516.973,3.00065,4.00446,12.7342
AZA20Y,574.263,1.08551,2.90082,9.22462
AZA211,516.973,3.00065,3.69741,11.7578
AZA215,2310.95,312.454,8.54611,27.1766
AZA216,543.882,4.92403,2.4917,7.92362
AZA217,2310.95,312.454,8.54611,27.1766
AZA218,543.882,4.92403,2.4917,7.92362
AZA219,2310.95,312.454,8.54611,27.1766
AZA220,543.882,4.92403,2.4917,7.92362
AZA222,543.882,4.92403,2.4917,7.92362
AZA224,543.882,4.92403,2.4917,7.92362
AZA226,543.882,4.92403,2.4917,7.92362
AZA227,619.24,18.0388,2.74185,8.71908
AZA229,603.053,12.5133,3.6035,11.4591
AZA248,557.815,4.84344,3.43566,10.9254
AZA55C,848.141,4.5565,10.535,33.5014
AZA58Y,464.507,0.890361,2.0682,6.57688
AZA602,855.271,6.76448,10.6272,33.7945
AZA604,1013.16,2.87753,14.4676,46.0069
AZA605,1128.06,7.62903,12.9163,41.0739
AZA60M,1069.17,2.04004,19.5457,62.1555
AZA60U,863.82,7.72896,15.6024,49.6157
AZA610,845.158,4.22486,12.964,41.2255
AZA61CM,1124.64,5.31034,17.0948,54.3614
AZA62N,925.233,6.07971,14.1624,45.0365
AZA63C,1069.17,2.04004,13.2084,42.0027
AZA63KD,845.158,4.22486,10.5041,33.4032
AZA65F,1067.83,1.92458,13.1922,41.9512
AZA65X,1079.35,6.48201,13.3381,42.4153
AZA66Y,1067.83,1.92458,13.1922,41.9512
AZA676,868.847,4.98358,13.2337,42.0833
AZA72B,2310.95,312.454,8.54611,27.1766
AZA78M,464.507,0.890361,2.28207,7.25698
AZA79A,557.815,4.84344,3.43566,10.9254
AZA82J,2310.95,312.454,8.26647,26.2874
AZA87W,603.053,12.5133,3.63768,11.5678
AZA97U,464.507,0.890361,2.0682,6.57688
AZE20VU,300.946,7.00399,0.320477,1.01912
AZE22VU,174.983,12.9653,0.236066,0.75069
AZE29VU,873.48,90.317,0.75667,2.40621
AZE41B,478.06,25.0177,0,0
AZE42B,448.755,77.2632,0,0
AZG785,790.117,0.589767,17.3896,55.2989
BAE41,213.288,24.9183,0.787256,2.50347
BAE42,192.291,13.6321,0.71564,2.27574
BAE43,213.288,24.9183,0.787256,2.50347
BAE44,192.291,13.6321,0.71564,2.27574
BAE52,364.461,0.187689,1.4402,4.57983
BAF611,851.136,165.33,2.50307,7.95978
BAW03DV,1052.21,159.195,5.78861,18.4078
BAW04A,879.6,56.3802,25.4778,81.0194
BAW05DV,598.06,51.7551,3.61311,11.4897
BAW07Q,642.905,31.8469,3.79629,12.0722
BAW1,369.503,8.24503,2.23903,7.1201
BAW10,389.678,1.96114,4.6727,14.8592
BAW101P,475.185,1.99395,2.13772,6.79796
BAW102,615.204,1.34292,5.31664,16.9069
BAW104,252.925,3.66547,2.76929,8.80634
BAW105,266.702,0.287448,6.93286,22.0465
BAW106,289.534,2.76962,3.11971,9.92069
BAW107,266.702,0.287448,6.93286,22.0465
BAW108,252.925,3.66547,2.45288,7.80015
BAW109,815.71,185.589,15.0442,47.8407
BAW10C,629.883,4.33154,8.30363,26.4055
BAW11,624.016,43.7469,23.805,75.7
BAW116,575.701,4.48678,11.48,36.5064
BAW117,879.6,56.3802,25.4778,81.0194
BAW118,389.678,1.96114,4.57439,14.5465
BAW119,815.71,185.589,15.1472,48.168
BAW11M,595.575,1.90532,18.935,60.2132
BAW12,289.534,2.76962,5.77783,18.3735
BAW120G,556.908,4.37285,3.89453,12.3846
BAW124,252.925,3.66547,2.45288,7.80015
BAW125,266.702,0.287448,6.93286,22.0465
BAW127E,513.23,1.31945,2.277,7.24085
BAW12DT,389.678,1.96114,1.68106,5.34577
BAW12P,507.782,145.653,3.97343,12.6355
BAW130T,998.534,119.345,6.09308,19.376
BAW131T,533.123,6.85669,2.26918,7.21599
BAW132,470.631,1.12917,4.11637,13.0901
BAW133,973.89,117.766,12.6777,40.315
BAW138,387.676,1.49012,3.35766,10.6773
BAW139,815.71,185.589,11.0177,35.0363
BAW13FC,2623.76,425.656,13.696,43.5532
BAW13G,888.124,56.2283,25.3218,80.5234
BAW141M,596.51,16.1766,3.8264,12.1679
BAW142,462.322,1.85419,6.06645,19.2913
BAW143,534.039,30.2323,10.8335,34.4506
BAW146,513.23,1.31945,2.55722,8.13195
BAW147,2331.61,720.905,13.5051,42.9461
BAW148,513.23,1.31945,2.55722,8.13195
BAW149,1172.21,317.814,7.5691,24.0697
BAW14K,596.224,2.29203,7.86961,25.0254
BAW14R,475.398,10.4899,3.38863,10.7758
BAW15,984.522,114.589,20.8569,66.3248
BAW151Q,498.312,2.72173,2.25729,7.17818
BAW152L,465.317,5.86998,3.43061,10.9094
BAW154,513.23,1.31945,4.71585,14.9964
BAW155,2331.61,720.905,26.3747,83.8715
BAW156,389.678,1.96114,4.57439,14.5465
BAW157,416.713,0.506198,9.21787,29.3128
BAW15K,879.6,56.3802,25.4778,81.0194
BAW15PZ,440.395,2.33252,3.17009,10.0809
BAW16,294.833,4.88509,4.0639,12.9232
BAW160J,149.463,6.35329,1.3668,4.34643
BAW161,745.622,87.7483,13.9997,44.5192
BAW162,252.925,3.66547,1.04687,3.32905
BAW163,976.604,116.815,6.52955,20.764
BAW164,252.925,3.66547,3.17598,10.0996
BAW165,243.012,0.285521,7.85455,24.9775
BAW166,252.925,3.66547,2.45288,7.80015
BAW167,2077.95,679.978,33.2576,105.759
BAW168,441.325,3.56702,5.47089,17.3974
BAW169,1022.12,138.588,18.2418,58.0091
BAW16GM,603.053,12.5133,3.77883,12.0167
BAW16H,389.678,1.96114,1.68106,5.34577
BAW16LX,290.693,4.34106,2.20372,7.00783
BAW16MT,469.467,2.90358,2.05286,6.52809
BAW17,1709.02,152.319,19.1645,60.9432
BAW170M,414.46,10.6893,1.76931,5.6264
BAW172,596.224,2.29203,11.9459,37.9878
BAW173A,879.6,56.3802,25.4778,81.0194
BAW175,879.6,56.3802,25.4778,81.0194
BAW176A,568.106,3.24388,11.3097,35.9648
BAW178,588.758,4.28843,11.7787,37.4562
BAW179,879.6,56.3802,16.1455,51.3428
BAW17PA,476.405,0.165828,10.0794,32.0525
BAW17V,654.264,7.12531,13.2622,42.1739
BAW18,402.27,1.79994,3.20771,10.2005
BAW183,877.127,55.7606,25.4237,80.8473
BAW185,888.124,56.2283,16.4378,52.2721
BAW188,596.224,2.29203,7.80033,24.805
BAW189,879.6,56.3802,16.1455,51.3428
BAW18A,568.106,3.24388,7.36804,23.4304
BAW18LX,290.693,4.34106,2.20372,7.00783
BAW18VT,427.874,3.3664,3.24287,10.3123
BAW190,568.106,3.24388,11.3097,35.9648
BAW196E,568.106,3.24388,7.36804,23.4304
BAW198,271.628,0.269762,2.8413,9.03533
BAW199,815.71,185.589,15.2007,48.3384
BAW19DG,192.36,2.21217,1.65994,5.27861
BAW19LX,314.218,11.9538,2.32312,7.38753
BAW19V,967.085,53.4344,26.7003,84.907
BAW1CC,826.551,269.933,5.24502,16.6791
BAW1DL,302.553,10.6377,2.23363,7.10294
BAW1YC,931.857,54.094,12.2553,38.9719
BAW2038,651.337,14.6368,8.63092,27.4463
BAW205E,621.049,24.6279,2.82537,8.98467
BAW2063,2614.44,935.048,40.7393,129.551
BAW207,476.56,1.18646,16.5387,52.593
BAW209,476.56,1.18646,16.5387,52.593
BAW20K,465.768,3.0526,2.089,6.64302
BAW211J,168.344,18.4915,1.48706,4.72885
BAW2155,429.318,1.29168,9.36889,29.7931
BAW2169,476.405,0.165828,10.114,32.1626
BAW216P,465.768,3.0526,1.9718,6.27033
BAW21G,879.6,56.3802,19.0074,60.4434
BAW21PJ,476.405,0.165828,10.0832,32.0645
BAW2205,476.405,0.165828,10.0832,32.0645
BAW222,615.204,1.34292,5.64915,17.9643
BAW2238,421.581,9.15981,5.18413,16.4855
BAW224,568.106,3.24388,4.90626,15.6019
BAW225,879.6,56.3802,11.705,37.2218
BAW2273,581.586,2.22282,11.6719,37.1168
BAW2279,633.641,3.13356,12.473,39.664
BAW22B,879.6,56.3802,11.0878,35.2593
BAW22C,568.106,3.24388,4.90626,15.6019
BAW22KV,1321.37,493.779,7.27167,23.1239
BAW22LV,2084.11,738.075,11.247,35.7654
BAW232,420.247,0.160839,3.56707,11.3433
BAW233,536.746,30.1663,8.05649,25.6196
BAW234,420.339,0.180442,2.03205,6.46191
BAW235,1022.12,138.588,6.7695,21.527
BAW236,420.339,0.180442,1.99612,6.34766
BAW237,1033.87,132.109,6.83234,21.7268
BAW239,879.6,56.3802,16.1455,51.3428
BAW23T,588.758,4.28843,7.75328,24.6554
BAW242,588.758,4.28843,5.43722,17.2904
BAW243,476.56,1.18646,7.39528,23.517
BAW244,889.011,91.3258,12.3016,39.119
BAW245,695.297,4.16359,13.296,42.2812
BAW247,695.297,4.16359,15.9844,50.8305
BAW248,486.631,2.27161,4.47494,14.2303
BAW249,655.414,3.22445,8.87514,28.2229
BAW24MC,495.423,3.25339,3.4332,10.9176
BAW24R,568.106,3.24388,13.6517,43.4125
BAW251,653.01,2.88349,9.29536,29.5593
BAW253M,476.56,1.18646,10.135,32.2294
